day,altitude_ft,wind_speed,wind_direction
1,3000,18,10
1,6000,24,10
1,9000,24,360
1,12000,27,350
1,18000,32,320
1,24000,34,310
1,30000,35,310
1,34000,35,300
1,39000,34,290
1,45000,36,290
1,53000,28,290
2,3000,21,360
2,6000,27,360
2,9000,22,350
2,12000,22,330
2,18000,22,320
2,24000,25,290
2,30000,28,270
2,34000,35,250
2,39000,29,270
2,45000,28,280
2,53000,20,290
3,3000,18,360
3,6000,25,10
3,9000,20,360
3,12000,19,340
3,18000,18,340
3,24000,14,310
3,30000,14,270
3,34000,16,260
3,39000,20,260
3,45000,24,280
3,53000,23,300
4,3000,17,10
4,6000,23,30
4,9000,26,20
4,12000,30,10
4,18000,40,360
4,24000,55,10
4,30000,55,360
4,34000,49,360
4,39000,38,350
4,45000,26,320
4,53000,23,320
5,3000,2,10
5,6000,22,10
5,9000,21,360
5,12000,25,350
5,18000,31,320
5,24000,31,310
5,30000,30,300
5,34000,34,290
5,39000,29,280
5,45000,32,290
5,53000,27,290
6,3000,19,10
6,6000,31,340
6,9000,22,340
6,12000,24,320
6,18000,28,320
6,24000,37,300
6,30000,32,280
6,34000,32,270
6,39000,31,280
6,45000,33,280
6,53000,26,290
7,3000,19,360
7,6000,22,10
7,9000,28,20
7,12000,30,20
7,18000,46,10
7,24000,50,20
7,30000,54,20
7,34000,55,20
7,39000,45,10
7,45000,27,350
7,53000,16,340
8,3000,18,10
8,6000,22,30
8,9000,26,20
8,12000,30,10
8,18000,42,360
8,24000,53,360
8,30000,56,360
8,34000,51,360
8,39000,39,350
8,45000,26,320
8,53000,22,300
9,3000,14,360
9,6000,23,20
9,9000,25,10
9,12000,27,360
9,18000,41,350
9,24000,44,330
9,30000,55,350
9,34000,47,340
9,39000,32,320
9,45000,31,290
9,53000,24,280
10,3000,15,260
10,6000,9,230
10,9000,10,260
10,12000,8,250
10,18000,13,280
10,24000,14,300
10,30000,26,320
10,34000,31,330
10,39000,42,340
10,45000,23,330
10,53000,6,320
11,3000,1,260
11,6000,8,300
11,9000,10,350
11,12000,12,360
11,18000,17,10
11,24000,23,10
11,30000,30,360
11,34000,34,360
11,39000,30,350
11,45000,27,360
11,53000,10,30
12,3000,21,250
12,6000,20,250
12,9000,19,260
12,12000,22,250
12,18000,37,240
12,24000,42,240
12,30000,105,240
12,34000,102,240
12,39000,72,230
12,45000,63,250
12,53000,22,260
13,3000,7,110
13,6000,0,250
13,9000,8,270
13,12000,11,270
13,18000,26,260
13,24000,35,260
13,30000,52,250
13,34000,60,250
13,39000,53,260
13,45000,45,260
13,53000,23,0
14,3000,5,50
14,6000,6,50
14,9000,8,260
14,12000,14,260
14,18000,26,270
14,24000,48,260
14,30000,66,260
14,34000,69,250
14,39000,67,250
14,45000,59,260
14,53000,32,250
15,3000,5,20
15,6000,8,90
15,9000,7,100
15,12000,0,310
15,18000,8,300
15,24000,6,320
15,30000,11,300
15,34000,17,290
15,39000,21,280
15,45000,24,270
15,53000,19,0
16,3000,1,70
16,6000,11,150
16,9000,16,260
16,12000,15,270
16,18000,30,240
16,24000,23,280
16,30000,34,260
16,34000,42,250
16,39000,42,250
16,45000,33,250
16,53000,19,270
17,3000,7,90
17,6000,7,100
17,9000,7,80
17,12000,8,40
17,18000,19,360
17,24000,26,340
17,30000,46,350
17,34000,43,350
17,39000,23,330
17,45000,19,300
17,53000,17,290
18,3000,8,50
18,6000,10,70
18,9000,7,40
18,12000,7,10
18,18000,13,350
18,24000,18,340
18,30000,18,330
18,34000,24,330
18,39000,24,300
18,45000,19,300
18,53000,17,280
19,3000,12,210
19,6000,13,240
19,9000,5,290
19,12000,8,290
19,18000,15,300
19,24000,22,290
19,30000,34,290
19,34000,45,290
19,39000,50,290
19,45000,32,290
19,53000,23,310
20,3000,8,190
20,6000,10,190
20,9000,6,270
20,12000,9,300
20,18000,19,340
20,24000,37,330
20,30000,47,320
20,34000,52,320
20,39000,51,330
20,45000,30,320
20,53000,11,280
21,3000,11,180
21,6000,13,230
21,9000,17,300
21,12000,18,290
21,18000,19,290
21,24000,33,280
21,30000,38,270
21,34000,47,270
21,39000,64,270
21,45000,56,280
21,53000,34,290
22,3000,19,200
22,6000,8,200
22,9000,9,270
22,12000,21,260
22,18000,23,290
22,24000,25,280
22,30000,37,280
22,34000,61,280
22,39000,78,280
22,45000,58,280
22,53000,29,290
23,3000,13,160
23,6000,11,220
23,9000,11,250
23,12000,15,290
23,18000,24,290
23,24000,27,290
23,30000,28,290
23,34000,45,280
23,39000,80,290
23,45000,59,290
23,53000,32,310
24,3000,5,300
24,6000,7,340
24,9000,10,340
24,12000,13,340
24,18000,21,310
24,24000,40,330
24,30000,53,330
24,34000,60,330
24,39000,59,320
24,45000,44,310
24,53000,33,300
25,3000,5,310
25,6000,7,340
25,9000,11,320
25,12000,17,330
25,18000,30,320
25,24000,40,310
25,30000,54,320
25,34000,69,330
25,39000,55,330
25,45000,47,300
25,53000,35,310
26,3000,5,350
26,6000,8,340
26,9000,10,320
26,12000,15,320
26,18000,26,320
26,24000,34,320
26,30000,41,310
26,34000,43,300
26,39000,48,310
26,45000,47,310
26,53000,40,310
27,3000,6,310
27,6000,6,340
27,9000,11,350
27,12000,12,330
27,18000,20,310
27,24000,35,330
27,30000,55,330
27,34000,62,340
27,39000,57,320
27,45000,43,310
27,53000,34,300
